analysis_group,label,cohort,ocid,character_name,levels,start_level,end_level,total_growth,event_growth,between_growth,max_interval_growth,max_interval_seg,burst_ratio,std_interval,n_active_ge2,n_active_ge1,n_flat,n_intervals_known,seg0_assemble,seg4_overdrive,first_260_offset,exp_rate_at_260,obs_days_after_260,final_exp_rate,cp_delta_5snap
parker_vs_persistent,Seasonal_Parker,climb,1214f332b95d0b753733d2bad3f76b1eefe8d04e6d233bd35cf2fabdeb93fb0d,,140|255|255|255|255|256,140,256,116,116,0,115,0,0.991,45.9,1,2,3,5,115,1,,,,,
parker_vs_persistent,Seasonal_Parker,past260,b99dd86bb08330a2b14eb92c972c2e11,,250|261|262|262|262|265,250,265,15,14,1,11,0,0.733,4.15,2,3,2,5,11,3,,,,,
parker_vs_persistent,Seasonal_Parker,at260,78e428db27a554c0141925a26623910e,,255|260|260|260|260|260,255,260,5,5,0,5,0,1.0,2.0,1,1,4,5,5,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,cb07d788840dc65eaa2a1ad1835eb28e,,225|260|260|260|260|260,225,260,35,35,0,35,0,1.0,14.0,1,1,4,5,35,0,,,,,
parker_vs_persistent,Seasonal_Parker,climb,98b23d2e2c7095f96a41d1c16ee97c1d,,252|254|254|254|255|260,252,260,8,7,1,5,4,0.625,1.85,2,3,2,5,2,5,,,,,
parker_vs_persistent,Seasonal_Parker,at260,f93fcef4cafecf97c145cb8396d6b46fefe8d04e6d233bd35cf2fabdeb93fb0d,,255|260|260|260|260|260,255,260,5,5,0,5,0,1.0,2.0,1,1,4,5,5,0,,,,,
parker_vs_persistent,Seasonal_Parker,past260,97d54bdb81ca72e5ee04bb4fc470773286e68d4012202d0434d05f81868f68e3,,261|261|261|262|262|276,261,276,15,14,1,14,4,0.933,5.51,1,2,3,5,0,14,,,,,
parker_vs_persistent,Seasonal_Parker,at260,217de04fec9a7a81ac068a8b0af645c7,,200|260|260|260|260|260,200,260,60,60,0,60,0,1.0,24.0,1,1,4,5,60,0,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,d64d6a4ec16d606cd4a5eb8a42da3e78efe8d04e6d233bd35cf2fabdeb93fb0d,,277|280|281|281|281|281,277,281,4,3,1,3,0,0.75,1.17,1,2,3,5,3,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,452273f5d7978c3a0c2e4999cc5ed7d2efe8d04e6d233bd35cf2fabdeb93fb0d,,200|260|260|260|260|260,200,260,60,60,0,60,0,1.0,24.0,1,1,4,5,60,0,,,,,
parker_vs_persistent,Seasonal_Parker,climb,740b9340e7b0e51ffa8efd68094df804,,255|255|255|255|255|260,255,260,5,5,0,5,4,1.0,2.0,1,1,4,5,0,5,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,e5ef0541ba5c1bebafcf4b4b1f34bc79,,267|281|281|281|281|284,267,284,17,17,0,14,0,0.824,5.43,2,2,3,5,14,3,,,,,
