ocid,provisional_label,cohort,lv_2025-06-12,lv_2025-09-24,lv_2025-12-12,lv_2026-03-15,lv_2026-06-12,lv_2026-09-02
33b6258cfe2406701c39df7004eae5e0,Dormant,at260,260,260,260,260,260,260
e488805a70171e287e54736142ed6470,Dormant,at260,260,260,260,260,260,260
f6c544631c36a78d58c5518d9c59178c,Dormant,at260,260,260,260,260,260,260
642d8543a4aeee978fdd382065690adfefe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,past260,262,262,262,262,262,262
3f4955952bdc19e49240af78f52f2086,Dormant,past260,262,262,262,262,262,262
84a4342a7a66c9101d26575fdc22ab58efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
cd837f6ee3ece1300a75e6d48f716561,Dormant,at260,260,260,260,260,260,260
b589691edfc3bcd4053fce4a5fbc1c1d8295750b1f4857867454debc45ec9c8a,Dormant,at260,260,260,260,260,260,260
b80f96f8d00be8363e3f6c64d2b89e6defe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
3632d1f5628c1f9e1222b955a1943d54,Dormant,at260,260,260,260,260,260,260
8fea030ca17edc6fc8cc5ea6a788eb5a,Dormant,at260,260,260,260,260,260,260
c0513258d756d8558d46989f9d04c096,Dormant,past260,262,262,262,262,262,262
1c928c2b422c856c9299466ae78bb20fefe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
67feb1b2e8a9d24bb0ef94009b8fc9c3,Dormant,past260,262,262,262,262,262,262
ddddadbb315795044e0e0b6002cd2c54,Dormant,at260,260,260,260,260,260,260
e55cd7ef4a443589d3cc2f343e1d38f3efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,past260,262,262,262,262,262,262
1b2d5fc62e47cc1e1a7bb513870c6cc7,Dormant,at260,260,260,260,260,260,260
32b5cc2614e75c737d2f17c1150fbabeefe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,burnend,281,281,281,281,281,281
276cf75a803003f6413fe9a059723566efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
bac4668bc5333ebabff74395e2da3dd6,Dormant,at260,260,260,260,260,260,260
8dd32047492e876fc65a64d8acab845b,Dormant,at260,260,260,260,260,260,260
9704723d6d97c5552d90167743741f98efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
510aeeafbbfca436f176f15450cb9ae5,Dormant,at260,260,260,260,260,260,260
75980277e4b27b4d36f053ada6f175a7,Dormant,at260,260,260,260,260,260,260
5de441c2df15fd7b268a7f0f2943919c,Dormant,at260,260,260,260,260,260,260
4b714db7594554bd8374f3418b7c660e8295750b1f4857867454debc45ec9c8a,Dormant,at260,260,260,260,260,260,260
0c094a88d5308b53f9513616a6bb1cac,Dormant,burnend,281,281,281,281,281,281
ff1b235f8f4f822f6223de3201f74753efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
3a68623d1c6913acc7937cac4a439fb6,Dormant,at260,260,260,260,260,260,260
d44387cfcb48ec7bbf0dce34375f83c1,Dormant,at260,260,260,260,260,260,260
e8c9b6e7072bc6cf35e42f8fe3aa5620,Dormant,past260,262,262,262,262,262,262
da068fb8f2cf155df12515fd5787510defe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
6b1a14be4380cf7d778517123b0ca0cd,Dormant,past260,262,262,262,262,262,262
d7fe0f188972043ccbfef65642f05145,Dormant,at260,260,260,260,260,260,260
6ea4d16bdd8473d29f18ca2381723b48,Dormant,past260,262,262,262,262,262,262
906beefdefdb6d78470d8d681faeb4d1efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
c0f3858312e3e4d9f70707261d51cc1ee85e07f9d5d276f44440847eec04ba68,Dormant,past260,262,262,262,262,262,262
6dc5720299cd1a94bd54282434bf1ff1,Dormant,at260,260,260,260,260,260,260
46a712ed1759e522b8d678025d294fc4efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,at260,260,260,260,260,260,260
6601d0a23b78446ffdaaf372e9f2ddda,Dormant,at260,260,260,260,260,260,260
4e56f66b5835028fb37686ab0c8c5d83,Dormant,at260,260,260,260,260,260,260
f6ebfb751618dc1683a17d2a82f895fb,Dormant,at260,260,260,260,260,260,260
c2c2b964159dc46cf6bf88211b3b9a5b,Dormant,at260,260,260,260,260,260,260
f0b48b57ab7b02a598854c00473e3117,Dormant,at260,260,260,260,260,260,260
92258573b64d3d0922fb106f9dccbbc2efe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,burnend,281,281,281,281,281,281
95fd5bf06a4f67d1f71b813276158b2da2186d8e7cf7a6ee152d97cc78f2ae8b,Dormant,burnend,281,281,281,281,281,281
3d20d65286bea4141b2ace581fd81645,Dormant,at260,260,260,260,260,260,260
ee45efa190e409cecd3bd5042c7b585befe8d04e6d233bd35cf2fabdeb93fb0d,Dormant,past260,262,262,262,262,262,262
547b6f2aa500f7d92a8224c18ef87d74,Persistent_cand,climb,225,235,237,249,255,256
749d0a2b099c6d3cb65218b02c1f4234,Persistent_cand,at260,250,255,255,257,260,260
a7bc11fed0e07ceb652a2f1148e932ffefe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,at260,223,223,226,240,260,260
db50a8916c2feaeb4fa8e4c6e55a7b3defe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,200,200,200,203,255,260
cb101b65ee0e5bc06bf046ed1d47059e,Persistent_cand,climb,220,220,220,235,255,260
61668637c76b2fee59cf483e22c11dd9,Persistent_cand,climb,230,234,236,243,256,260
85892b7afd7c6caa422d8eea63e91438efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,235,235,235,250,255,260
28d97f8c4b9f673d366ec5776e874901,Persistent_cand,climb,228,228,239,245,255,260
69f23d1fd1e4f77b9e6cb77dcf3850ad,Persistent_cand,climb,222,222,223,231,255,260
911dc910e299fb5505bfc67e0c3108beefe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,215,215,218,219,255,259
43f924417d96951dd1dba6a4b3f8b154efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,burnend,272,276,277,279,281,281
796b8c249be4a695b237f05e61ff374e,Persistent_cand,burnend,270,270,272,274,280,281
3396ac20ee6b13736f581ef2ba97e4b2efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,250,250,250,252,255,260
31aef16daf069148c4ab036ec2ab68e7efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,at260,240,241,243,252,260,260
acfa0f288ed6ca09d34795660d6c4535,Persistent_cand,burnend,275,277,280,280,281,284
4853c5be4037f04057294142febc30efefe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,161,200,200,218,256,260
3ac483f377327b12cc309696f80171bf,Persistent_cand,at260,232,232,237,250,260,260
cbccd9d0dc57a582ccf81c409461b975efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,233,233,240,250,255,257
