label,cohort,ocid,levels,start_level,total_growth,event_growth,between_growth,n_active_ge1,n_active_ge2,top1_share,top2_share,hhi,disp_entropy,conc_entropy,gap12
Persistent_cand,burnend,b8fb991ac33bb357f17b911517b24a30efe8d04e6d233bd35cf2fabdeb93fb0d,265|271|275|277|281|281,265,16,6,10,4,4,0.375,0.625,0.281,0.821,0.179,2
Persistent_cand,climb,dbd82ad31c5f946c5968940797fc4fb0,228|230|230|236|256|262,228,34,8,26,4,4,0.588,0.765,0.412,0.678,0.322,14
Persistent_cand,past260,ab104888755f3eca685377541bca7f04,250|252|257|260|261|262,250,12,3,9,5,3,0.417,0.667,0.278,0.885,0.115,2
Persistent_cand,burnend,edeecb5bc4974dc8a8f61156de921ec7,270|275|277|280|281|282,270,12,6,6,5,3,0.417,0.667,0.278,0.885,0.115,2
Persistent_cand,at260,9aab4dd34ad974a974fa24bd593b351aefe8d04e6d233bd35cf2fabdeb93fb0d,220|225|250|250|260|260,220,40,5,35,3,3,0.625,0.875,0.469,0.559,0.441,15
Seasonal_Parker,burnend,a35f4d0b3c1f76de607cd275cd647e10,276|279|280|280|280|282,276,6,5,1,3,2,0.5,0.833,0.389,0.628,0.372,1
Seasonal_Parker,at260,aed59f313aca1957cce26cb72591dfc9,200|260|260|260|260|260,200,60,60,0,1,1,1.0,1.0,1.0,-0.0,1.0,60
Seasonal_Parker,burnend,c463d28a20e7e17a5a476039e2d10c16,273|279|280|280|281|284,273,11,9,2,4,2,0.545,0.818,0.388,0.696,0.304,3
Seasonal_Parker,past260,992c873304c93ecf38c80df9c3652bfa,215|262|262|262|262|262,215,47,47,0,1,1,1.0,1.0,1.0,-0.0,1.0,47
Seasonal_Parker,burnend,7e3780b4c672a5f03b4396997df1b4dc,277|281|281|281|281|281,277,4,4,0,1,1,1.0,1.0,1.0,-0.0,1.0,4
Seasonal_Parker,burnend,982dc7a6471454c31036731b5f85501eefe8d04e6d233bd35cf2fabdeb93fb0d,278|281|281|281|281|281,278,3,3,0,1,1,1.0,1.0,1.0,-0.0,1.0,3
Seasonal_Parker,at260,9f4cc7c9bc459a93e9b62d58436f0a07efe8d04e6d233bd35cf2fabdeb93fb0d,257|260|260|260|260|260,257,3,3,0,1,1,1.0,1.0,1.0,-0.0,1.0,3
Seasonal_Parker,climb,1214f332b95d0b753733d2bad3f76b1eefe8d04e6d233bd35cf2fabdeb93fb0d,140|255|255|255|255|256,140,116,116,0,2,1,0.991,1.0,0.983,0.031,0.969,114
Seasonal_Parker,past260,b99dd86bb08330a2b14eb92c972c2e11,250|261|262|262|262|265,250,15,14,1,3,2,0.733,0.933,0.582,0.453,0.547,8
Seasonal_Parker,at260,78e428db27a554c0141925a26623910e,255|260|260|260|260|260,255,5,5,0,1,1,1.0,1.0,1.0,-0.0,1.0,5
Seasonal_Parker,at260,cb07d788840dc65eaa2a1ad1835eb28e,225|260|260|260|260|260,225,35,35,0,1,1,1.0,1.0,1.0,-0.0,1.0,35
Seasonal_Parker,climb,98b23d2e2c7095f96a41d1c16ee97c1d,252|254|254|254|255|260,252,8,7,1,3,2,0.625,0.875,0.469,0.559,0.441,3
Seasonal_Parker,at260,f93fcef4cafecf97c145cb8396d6b46fefe8d04e6d233bd35cf2fabdeb93fb0d,255|260|260|260|260|260,255,5,5,0,1,1,1.0,1.0,1.0,-0.0,1.0,5
Seasonal_Parker,past260,97d54bdb81ca72e5ee04bb4fc470773286e68d4012202d0434d05f81868f68e3,261|261|261|262|262|276,261,15,14,1,2,1,0.933,1.0,0.876,0.152,0.848,13
Seasonal_Parker,at260,217de04fec9a7a81ac068a8b0af645c7,200|260|260|260|260|260,200,60,60,0,1,1,1.0,1.0,1.0,-0.0,1.0,60
